Code,Description
samp2887,Avian (oral)
samp2888,FEED-bone meal
samp2889,"Bovine, environmental"
samp2890,Ground chuck
samp2891,raw whole cucumber
samp2892,"layang scad, whole"
samp2893,frz calamari rings
samp2894,"squid, frz"
samp2895,rotisserie chicken
samp2896,minced chital (spotted featherback)
samp2897,Animal - Bovine-Liver
samp2898,chick feces; chicken
samp2899,Racoon; Racoon
samp2900,whole mango
samp2901,potato
samp2902,Hampster Liver
samp2903,frz crabmeat
samp2904,frozen ladyfish
samp2905,BALL PYTHON
samp2906,"organic anise seed, whole"
samp2907,beef chew dog treats
samp2908,Dispholidus typus faeces
samp2909,Chocolate cheesecake
samp2910,steamed conch
samp2911,"Gram-negative and facultative anaerobes, with flagellated and non-spore-forming"
samp2912,Chicken bites wrapped in bacon
samp2913,African Clawed Frog
samp2914,Nuts
samp2915,wound; Homo sapiens
samp2916,"grouper fillet, skinless, boneless, frz"
samp2917,garam masala (ground) mix spices
samp2918,methi leaves
samp2919,bean sprouts
samp2920,"crab w claws, frz, cut"
samp2921,chocolate candy pieces
samp2922,uncooked shrimp
samp2923,ulceritec dietary supplement
samp2924,wound; male; Homo sapiens; Age: 65
samp2925,banana leaves  (dahon ng saging)
samp2926,squid fillets
samp2927,raw california walnut pieces
samp2928,iguana; Iguana iguana
samp2929,"animal feed, raw chicken carcass at slaughterhouse"
samp2930,bulk feed
samp2931,Snake  (mouth/vent)
samp2932,frozen whisker sheatfish
samp2933,Food(Fennel)
samp2934,cashew
samp2935,Zoo; Lizard
samp2936,Seasoned Stuff Chicken Breast
samp2937,"milkfish, boneless"
samp2938,chilli powder regular
samp2939,whisker fish
samp2940,fresh frozen octopus
samp2941,grated dry coconut
samp2942,frozen tuna steaks
samp2943,spiny goby fish
samp2944,environmental floor swab of cattle facility; Bovine
samp2945,frozen grated coconut
samp2946,frozen prepared crab mixed
samp2947,grains of paradise (pepper)
samp2948,black sesame seed
samp2949,peanut butter paste
samp2950,frz baby mud fish
samp2951,nimbu masala
samp2952,masa corn
samp2953,turkey jerky
samp2954,Tokay Gecko Feces; Gekko gecko
samp2955,assorted fried vegetable snack
samp2956,mixed spices
samp2957,anise seeds
samp2958,Avian (environmental-incubator)
samp2959,Porcine Rectal Swab
samp2960,ahi tuna steaks
samp2961,green peppers
samp2962,pine nuts
samp2963,frozen fuzzie feeder mice; feeder mouse
samp2964,"epazote leaves, dried"
samp2965,Chicken Breast Raw
samp2966,frozen featherback fish meat
samp2967,gram roasted chilka bhuna chana
samp2968,green mole powder
samp2969,"sesame seed, hulled"
samp2970,"frozen, vacuum packaged yellowfin tuna scrape"
samp2971,"peppermint leaves, ground, tea cut"
samp2972,Bos primigenius; cow manure
samp2973,black cumin
samp2974,green radish
samp2975,cut celery
samp2976,frozen apple snail
samp2977,frozen iqf scallops adductors
samp2978,dried anchovies
samp2979,"golden treadfin bream, frz, whole"
samp2980,fresh cantaloupe melons
samp2981,"albacore ground, frz"
samp2982,Lemur catta; Lemur; necropsy
samp2983,Cheese Ravioli
samp2984,Meleagris gallopavo; intestin
samp2985,Echis carinatus faeces
samp2986,frz. walking fish
samp2987,Bos taurus; Ileum
samp2988,Homo sapiens; whole blood
samp2989,snack mix
samp2990,Farm
samp2991,Osteitis
samp2992,"Stool, Scringeow"
samp2993,Macropus robustus
samp2994,Toucan
samp2995,dug fish
samp2996,"animal, fecal content at slaughterhouse"
samp2997,milk masala powder
samp2998,blue poppy seeds
samp2999,round tomatoes
samp3000,"Poultry,egg"
samp3001,Rawhide Bone
samp3002,Gallus gallus: Cecal content
samp3003,curry spice
samp3004,CSF
samp3005,Water GA Pond-CC1
samp3006,shrimp primavera
samp3007,relajo entero bolsa
samp3008,"snapper fillet - frozen, malabar"
samp3009,fresh thai basil
samp3010,fish dumpling
samp3011,peritoneal fluid of chicken; Chicken
samp3012,arnica flower tea whole
samp3013,Bovine Fluid; Bos taurus
samp3014,sweet basil (dried)
samp3015,frozen wild caught co yellow tuna
samp3016,frz white shirmp
samp3017,climbing perch fish
samp3018,"pet food, frozen mice"
samp3019,frozen mahi fillets
samp3020,"sea snail, boiled"
samp3021,halawa candy
samp3022,dried chilli
samp3023,avian (lung)
samp3024,Equine (necropsy-colon)
samp3025,haddock fillets
samp3026,culantro
samp3027,"bitter leaf, dried"
samp3028,Moose FECES
samp3029,ground red chili pepper
samp3030,Bovine (necropsy-liver-lung)
samp3031,"Porcine, necropsy"
samp3032,frz. milkfish
samp3033,spiced & fried sole fish
samp3034,annatto seeds
samp3035,"red drum, whole, frz"
samp3036,yellow eel chunk
samp3037,frozen rohu fish
samp3038,Moose (necropsy)
samp3039,Bos taurus: Lymph node
samp3040,frozen whole hassar
samp3041,shredded lettuce
samp3042,bovine (grass feed)
samp3043,Feline (abscess)
samp3044,green cardamon
samp3045,taro leaves
samp3046,Flatwhiskered Fish
samp3047,Scraper near floor
samp3048,human stool; Homo sapiens
samp3049,Homo sapiens; carrier foodhandler
samp3050,baby; Homo sapiens
samp3051,Organic Raw Pistachios
samp3052,"Enhydra; Otter specimen, placenta"
samp3053,instant tea
samp3054,toasted soy grits
samp3055,moose feces; Alces alces
samp3056,Crack in floor at Junction
samp3057,Crow
samp3058,sinus; Homo sapiens; Age: 49; female
samp3059,frozen chopped basil
samp3060,frozen dog food
samp3061,bovine lntestine; Bos taurus
samp3062,Raw egg
samp3063,"octopus, frozen"
samp3064,shrimp and prawn
samp3065,stool; female; Homo sapiens; Age: 58
samp3066,climbing perch
samp3067,"lettuce, loose-leaf romaine"
samp3068,Gallus gallus: Carcass
samp3069,FROZEN TILAPIA WHOLE
samp3070,Reptile (mouth); reptile
samp3071,PINE SISKIN
samp3072,frz tail off black tiger shrimp
samp3073,fecal; Bovine
samp3074,oregano whole dried
samp3075,kulfi (condensed milk)
samp3076,kasoori methi
samp3077,dhana jeera powder
samp3078,linaza plus (flax seeds)
samp3079,sesame molassess
samp3080,frozen spinny goby
samp3081,fish meal (feed use only)
samp3082,frozen seafood combination
samp3083,soft shell crab
samp3084,cream of wheat
samp3085,"Chia, flax and broccoli seeds smoothie mix"
samp3086,scad
samp3087,raccoon (feces)
samp3088,Bovine (bunk feed)
samp3089,Hamster (corpse)
samp3090,Avian (chick fluff)
samp3091,Chukar (multiple tissues)
samp3092,halva with pistachio
samp3093,coarse ground malabar black pepper
samp3094,sesame seed paste tahina
samp3095,frozen tuna ground meat
samp3096,Bovine (culture)
samp3097,"Canine, feces"
samp3098,"tuna, ground"
samp3099,Animal-Calf-Formula-fed Veal
samp3100,frz iqf seafood mix
samp3101,frz whole milkfish
samp3102,avian feces; Bird
samp3103,shelled pistachios
samp3104,artichoke tea
samp3105,feline feces; Cat
samp3106,"bangladeshi fish, frz"
samp3107,gizzards
samp3108,frz. cut crab
samp3109,fresh parsley (organic)
samp3110,herbs of provence
samp3111,ground beef or milk
samp3112,roast meat flavor
samp3113,Food poisoning
samp3114,raw whole crabs
samp3115,ground pumpkin seeds
samp3116,poultry starter feed
samp3117,rectal swab
samp3118,Cockroach; Free living
samp3119,mix for lahori fish
samp3120,barley drink
samp3121,fresh frozen raw s/on shrimp
samp3122,Stool; Age: 30-39
samp3123,Ginger Root
samp3124,ovine muscle
samp3125,bovine swab
samp3126,raw material salmon mixture
samp3127,"chicken; Central Veterinary Lab, Weybridge"
samp3128,chick paper
samp3129,frz barramundi fillet
samp3130,hot pepper
samp3131,Dairy Farm
samp3132,Antechinus flavipes
samp3133,frozen top shell
samp3134,tuna loins
samp3135,"cat food, raw fzn grd chicken"
samp3136,ground ginger
samp3137,Jalapeno Cheese Spread
samp3138,"pet treat, dried beef lung sqr."
samp3139,dried mango
samp3140,bovine spleen
samp3141,Canine (bal)
samp3142,raw meat
samp3143,isolate from beef dog chews
samp3144,frozen raw shrimp
samp3145,fried charal (sardines)
samp3146,dried licorice
samp3147,"seafood salad, frz"
samp3148,sesame seeds in husk
samp3149,"pet treat, beef pizzle dog chew"
samp3150,cherry tomoatoes
samp3151,chile molido puro med hot (ground red pepper)
samp3152,achiote molido (ground annato)
samp3153,gutted smoked cat fish
samp3154,spicy bean burger
samp3155,frz. doby fish
samp3156,frozen pangasius fish
samp3157,synovial fluid/joint fluid; Homo sapiens
samp3158,frz. wild-caught scad
samp3159,reptile (abdominal swab)
samp3160,Bovine (hide swab)
samp3161,Canine (vagina)
samp3162,"rabbit, whole, skinless, bone in"
samp3163,frz. grouper fillet
samp3164,mushroom base
samp3165,zaa'tar thyme mix
samp3166,Deer Tissue Composite
samp3167,rough floor seam
samp3168,Vegetable chips
samp3169,"macadamia nuts, raw"
samp3170,dried parsley
samp3171,mrigal
samp3172,turkey breast strip
samp3173,white meat spice rub
samp3174,"coriander, organic, ground"
samp3175,mixed fruit
samp3176,dry green beans
samp3177,spinachs flakes
samp3178,celery stalk and leaf
samp3179,kasoori methi (fenugreek )
samp3180,Dust on north wall
samp3181,"macadamia nuts, organic"
samp3182,"flounder fillet, frozen"
samp3183,animal feed blend
samp3184,crushed dried red chile pods
samp3185,frz whole trumpet emperor fish
samp3186,dill seed
samp3187,Oconee River; water
samp3188,bovine lymph node
samp3189,ovine spleen
samp3190,"serrano pepper, fresh"
samp3191,Abscess pus
samp3192,Brush inside of dryer
samp3193,Sus domesticus; Brain Swab
samp3194,mixture corn and egg
samp3195,Tri-Pepper Mix
samp3196,Hemoculture
samp3197,Aquarium swab
samp3198,organic dried mulberries
samp3199,From patient J. Vacluver
samp3200,Porcupine
samp3201,Boiga dendrophila
samp3202,Varanus acanthurus
samp3203,Livestock
samp3204,Tiliqua multifasciata
samp3205,"paprika, dried"
samp3206,nimco mix
samp3207,poultry cloacal swab; Gallus gallus
samp3208,bile fluid; Homo sapiens
samp3209,"animal feed, sweet oats"
samp3210,raw black tiger shrimp
samp3211,Celery Microgreens
samp3212,Bovine (environmental-barn)
samp3213,soybean protein
samp3214,"squid, frozen loligo"
samp3215,fresh jalapeno pepper
samp3216,frz devil fish
samp3217,BNLS / SKNLS CHICKEN BREAST
samp3218,feed (for meet prodcution animals)
samp3219,egg salad kit (egg whites)
samp3220,dhanajiru powder  (curry)
samp3221,"pet treat, rawhide bone w pb"
samp3222,whole cleaned travelly
samp3223,frozen mullet fish
samp3224,"pet treat, pb & apple stuffed"
samp3225,raw scallops
samp3226,"arnica flower tea, whole"
samp3227,frozen fish
samp3228,thai peppers
samp3229,agra taj dalmoth (fried snack food)
samp3230,Raccoon (tissue)
samp3231,peruvian paprika powder
samp3232,frozen hilsha
samp3233,raw headless shell-on shrimp
samp3234,green pepper
samp3235,Bovine (environmental-plant leaves)
samp3236,roasted pumpkin seeds
samp3237,sentiment
samp3238,"yellow croaker, frozen"
samp3239,"Bovine (necropsy-intestine,liver,lung)"
samp3240,Bovine Rectal; Bos taurus
samp3241,frozen raw vannamei white shrimp
samp3242,Chickenkiev
samp3243,sheer khurma dessert mix
samp3244,Pig; Pig
samp3245,"snapper fillets, frz"
samp3246,corn flakes chiwda
samp3247,Liver; Sus scrofa
samp3248,Marine mammal; marine mammal
samp3249,cardamom seeds
samp3250,"featherback fish (paste), frz"
samp3251,"coconut, shredded"
samp3252,roasted & salted garlic/onion pistachios
samp3253,halawa
samp3254,stevia
samp3255,"pet food, poultry blend"
samp3256,Lacertilia: Blood
samp3257,environmental fecal sample; Bovine
samp3258,pork blood meal
samp3259,pet chews
samp3260,Bovine Liver
samp3261,swine muscle
samp3262,Homo sapiens; faeces
samp3263,Environment(Wastewater))
samp3264,aricelt tea
samp3265,rice flour
samp3266,RTE Product-Beef Corndog
samp3267,Marinated Baby Strip Head Fish
samp3268,neck abscess; Homo sapiens
samp3269,goose feces; Branta sp.
samp3270,silver pomfret
samp3271,raw cashew nuts
samp3272,"animal feed, dairy mash"
samp3273,sugar free plain halva
samp3274,ground cumin seeds
samp3275,dry black mulberry
samp3276,"pet treat, chicken breast strips"
samp3277,fresh water prawn
samp3278,moth beans crisp disc
samp3279,"tuna steak, frz, smoked"
samp3280,raw cow milk
samp3281,frozen tilapia w/r 600-800g 100 pct nw iqf iwp
samp3282,tamal mix (spice mix)
samp3283,egg yolk
samp3284,Iguana (feces); Iguana sp.
samp3285,"alfalfa sprouts, fresh, raw"
samp3286,frozen whole tilapia
samp3287,dry sage
samp3288,river bard fish
samp3289,bulk soyplus (animal feed)
samp3290,huiled sesame
samp3291,cashew snack
samp3292,misc
samp3293,fennel
samp3294,sesame paste (tahina)
samp3295,kiwi pudding
samp3296,yellow cheese
samp3297,"scarlet snapper fillets, raw, skin on, boneless"
samp3298,feed - imported
samp3299,blolovi smoked fish
samp3300,feline (feed)
samp3301,feline (culture medium)
samp3302,padma hilsa
samp3303,sambar masala
samp3304,dried lotus seed
samp3305,black-eyed pea tempeh
samp3306,arnica flower tea
samp3307,meringue
samp3308,Bovine (feed-supplement)
samp3309,Cow Other
samp3310,Cow Missing
samp3311,sweet bell peppers
samp3312,"crawfish, frz, cooked, whole"
samp3313,ready to eat product
samp3314,"frozen whole baby octopus,cleaned"
samp3315,Snake Tissue
samp3316,frozen sand goby fish
samp3317,Fresh cherry tomatoes
samp3318,onion/clover sprouts
samp3319,Horse Tissue
samp3320,tempeh culture unopen bag
samp3321,frozen rabbits
samp3322,Chicken; Chicken
samp3323,Environment - Water-River
samp3324,sea crab
samp3325,asian black tiger shrimp
samp3326,ground yellowfin tuna
samp3327,Mixed Spice and Seasoning
samp3328,Kingfish
samp3329,Echis coloratus  faeces
samp3330,Raw Cashews Pieces
samp3331,Stool/enteritis
samp3332,Blood culture; Patient Havill 
samp3333,Homo sapiens; female; blood-culture; Age: fifteen years; female; blood
samp3334,Sus domesticus; Pericardium
samp3335,Cooked Octopus
samp3336,Horse meat
samp3337,frozen farm raised golden pompano whole round
samp3338,Cheetah
samp3339,falafel
samp3340,spiced mixture
samp3341,frozen tilapia fillets
samp3342,"snow crab, froz"
samp3343,roasted cuttlefish
samp3344,frozen fresh water hlso shrimp
samp3345,frz. fresh h2o prawn
samp3346,"nutmeg, ground"
samp3347,"frog, cleaned"
samp3348,cake
samp3349,batashi
samp3350,"yellowfin tuna, ground, frz"
samp3351,"dog food, hokamix"
samp3352,"dried pigs ears, dog chews"
samp3353,flying fish
samp3354,frz soft shell crab
samp3355,frozen dried pilot fish
samp3356,clinical
samp3357,frz bangamary
samp3358,frz whole tilapia
samp3359,"animal feed, dried spinach powder"
samp3360,frozen banana leaf
samp3361,magur fish
samp3362,"yellowfin tuna a1 nakaochi scrape, frz"
samp3363,hot masala
samp3364,Tortoise (necropsy-abdominal fluid-liver)
samp3365,parsely powder organic
samp3366,"dhani koral, frz"
samp3367,foli (rohu)
samp3368,frozen black pomfret
samp3369,white chia seed
samp3370,dried stock fish
samp3371,chicken leg quarters
samp3372,frozen whole rhizome
samp3373,black natural sesame seed
samp3374,peppermint tea
samp3375,blend of organic ground chili pepper and organic ground paprika
samp3376,turtle tank water
samp3377,iqf cleaned octopus
samp3378,Calabrese Salami
samp3379,frozen whole indo pacific mackerel
samp3380,"co tuna mini cubes, frz"
samp3381,Porcine Intestine
samp3382,retail raw cow milk
samp3383,Chocolate Balls
samp3384,Cow Lung
samp3385,"yellowtail emperor fish -gutted, cleaned, frozen"
samp3386,frz whole shari puti fish
samp3387,"gold band fusilier, frz, whole"
samp3388,raw chicken blend for dogs and cats (frozen)
samp3389,marinated boneless milkfish
samp3390,feces; Ovine
samp3391,Cobaye
